"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT21"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-26","7.38",,"0.00","0.0","0.0",,"68","35","  310","  300","19.9","25.9",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-27","11.41",,"0.00","0.0","0.0",,"65","33","  340","  320","25.9","36.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-02-28","9.40",,"0.00","0.0","0.0",,"63","34","  360","  350","19.9","25.1",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-01","4.70",,"0.00","0.0","0.0",,"70","26","   20","   20","28.0","33.1",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-02","9.62",,"0.00","0.0","0.0",,"63","32","  360","  360","23.0","33.1",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-03","12.30",,"0.00","0.0","0.0",,"75","29","  190","  190","25.9","34.9",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-04","13.87",,"0.00","0.0","0.0",,"87","53","  200","  200","21.0","30.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-05","16.78",,"0.00","0.0","0.0",,"68","33","   10","   10","38.0","45.0",,,,,,,,,,"    1",,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-06","5.82",,"0.00","0.0","0.0",,"64","31","   30","   30","17.0","21.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-07","8.28",,"0.00","0.0","0.0",,"75","32","  150","  150","21.0","28.0",,,,,,,,,,,,,,
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-08","8.50",,"0.05","0.0","0.0",,"68","57","  140","  130","21.9","29.1","    1",,,,,,,,,,"    1","    1","    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-09","15.21",,"0.00","0.0","0.0",,"74","62","  180","  150","29.1","36.0",,,"    1",,,,,,,,"    1","    1","    1",
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2013-03-10","11.18",,"1.01","0.0","0.0",,"67","42","  350","   10","23.0","31.1",,,"    1",,,,,,,,"    1",,"    1",
